Follower count:,Post ID,Media Type:,Caption,Likes,Comments,Timestamp,Tags:
303164617,3153344322615658601,2,"KABOOOOOM 💥. Lite Feet Nation stepped in the room. Meet Hype Girl and her chosen family of Harlem repping-dancers known to be one of the most globally influential crews out there. From their block to the streets worldwide, modern dance without Lite Feet wouldn’t be the same. 

What makes this squad so powerful is that the moves they make aren’t just for themselves, but for the youth in their community to have a positive outlet forever. 

Hit the link in our bio to watch the full film. #InTheWild",52074,464,2023-07-23 16:00:10+00:00,"[{'username': 'ralphuptown', 'followers': 4460}, {'username': 'kshakes_mrallin', 'followers': 20860}, {'username': 'koda_live', 'followers': 5146}, {'username': 'iamjadachanell', 'followers': 33965}, {'username': 'chrybaby_cozie', 'followers': 14878}, {'username': 'i_amxavian', 'followers': 18068}, {'username': 'babyonyc', 'followers': 11772}, {'username': 'tahswag08', 'followers': 46952}, {'username': 'kiyonishouseparty', 'followers': 318}, {'username': 'hypegirltune', 'followers': 36797}, {'username': '_kidsmoove_', 'followers': 6614}]"
303164617,3152861467396475693,8,"The world of Jéssica Silva (@jessiicasilva10) is a mosaic of athletic brilliance, immense success, emotional challenges and a loving family who grounds her through it all. 

Tap the link in bio to watch all episodes of Jéssica’s “What Are You Working On?”",82154,443,2023-07-22 23:59:57+00:00,"[{'username': 'jessiicasilva10', 'followers': 672747}]"
303164617,3152619942477421260,8,"""A good sports bra helps make me feel free enough to worry about nothing."" - Asisat Oshoala 

Five-time African Women's Footballer of the Year and striker for Nigeria’s national team, @asisat_oshoala knows the beautiful game like the back of her hand. She also knows how crucial it is to feel supported while you play it. Engineered for ultimate security, the new Nike Swoosh Bra gives Asisat, and every athlete, the confidence to play fearlessly. Now you can take to the pitch knowing the Swoosh Bra will be doing its job, while you do yours. 🏆🕊️

Link in bio to shop the new Nike Swoosh Bras. ⚡️",57162,265,2023-07-22 16:00:05+00:00,"[{'username': 'nikewomen', 'followers': 7179273}, {'username': 'asisat_oshoala', 'followers': 1040076}]"
303164617,3152291511505720504,2,"Being like a Lioness means celebrating individuality. Lifting up the people around you 🙌 Aiming higher than ever, holding the door wide open when you get there...and doing it all in style ⚽. #LikeaLioness⚡#NikeFC",46102,236,2023-07-22 05:09:50+00:00,"[{'username': 'nikelondon', 'followers': 806217}, {'username': 'lottewubbenmoy', 'followers': 104279}, {'username': 'nikefootball', 'followers': 45672129}, {'username': 'chloekelly', 'followers': 600500}, {'username': 'ellatoone', 'followers': 521035}, {'username': 'stanwaygeorgia', 'followers': 335416}, {'username': 'lucybronze', 'followers': 594928}, {'username': 'leahwilliamsonn', 'followers': 914858}, {'username': 'msbanks', 'followers': 622923}, {'username': 'lionesses', 'followers': 928085}, {'username': 'laurennjjames', 'followers': 593497}]"
303164617,3152253515237083619,8,"@sophsssmith and @mrapinoe are lighting up the pitch.

Not content with scoring just one goal in her first tournament—Sophia has grabbed a brace AND an assist to boot 🎯…. she’s doing it all with a smile. 

Now the whole world knows, she’s arrived.

Megan; whatever’s thrown her way, she makes the game her own—and she’s hit an awe-inspiring 200 caps. LET IT RIP!

That’s what we call squad goals 🤝. 
#NikeFC",49915,200,2023-07-22 03:52:03+00:00,"[{'username': 'uswnt', 'followers': 2314932}, {'username': 'nike', 'followers': 303164617}, {'username': 'sophsssmith', 'followers': 285937}, {'username': 'mrapinoe', 'followers': 2191412}]"
303164617,3152212424799130091,8,"The USWNT arrive tailored in @nike x @martine_rose.

Shop the Nike x Martine Rose collection from July 25 on martine-rose.com and July 27 on SNKRS in select geographies.",147172,634,2023-07-22 02:30:25+00:00,"[{'username': 'martine_rose', 'followers': 309715}, {'username': 'alyssthomp', 'followers': 150460}, {'username': 'alexmorgan13', 'followers': 10225094}, {'username': 'cdunn19', 'followers': 342049}, {'username': 'mrapinoe', 'followers': 2191412}]"
303164617,3152039506068562732,2,"What’s more terrifying? A multi-time champion who has done it all and can’t be fazed, or a brilliant striker whose superior skill is about to go on display?

Luckily, the @uswnt doesn’t have to choose. 

We asked world champion @cdunn19 and 🇺🇸 newcomer @sophsssmith what they’d tell themselves in the heat of an intense match — and they delivered.

The USWNT makes their tournament debut. The journey to ⭐⭐⭐⭐⭐ continues.
 # NikeFC",30978,128,2023-07-21 20:50:57+00:00,"[{'username': 'uswnt', 'followers': 2314932}, {'username': 'nike', 'followers': 303164617}, {'username': 'cdunn19', 'followers': 342049}, {'username': 'sophsssmith', 'followers': 285937}]"
303164617,3151868216187200420,8,"@AlexMorgan13. Yeah, you know her. If you don’t, ummm...where have you been since 2011? She’s back for her fourth tournament. HER 👏FOURTH 👏TOURNAMENT. With her veteran experience leading the @uswnt to two previous championships in 2015 and 2019, you know Alex is here to make waves going for lucky #3 in 2023. 🌊🌊🌊 #NikeFC",92077,450,2023-07-21 15:06:32+00:00,"[{'username': 'alexmorgan13', 'followers': 10225094}, {'username': 'nikewomen', 'followers': 7179273}]"
303164617,3151834055712658604,2,"The elegance. The glamor. Her commanding strike and merciless celebrations. 🫖 

Watch effort, made effortlessly as iconic @uswnt forward @alexmorgan13 begins her quest for yet another star. ⭐️ #NikeFC #JustDoIt",71503,345,2023-07-21 14:03:42+00:00,"[{'username': 'alexmorgan13', 'followers': 10225094}, {'username': 'nikefootball', 'followers': 45672129}]"
303164617,3151369135636477165,8,"@asisat_oshoala is the most decorated African female footballer—EVER. Few players in her generation possess the speed, power and precision of the 🇳🇬 forward. She’s a global icon stepping onto the world’s stage. 

Above all, Asisat knows how to stay composed when the pressure’s on. Support her and team Nigeria today as they add to their already-stacked African legacy.

So…how far will the @nigeriasuperfalcons fly?
#NikeFC",54348,228,2023-07-20 22:34:57+00:00,"[{'username': 'nikefootball', 'followers': 45672129}, {'username': 'asisat_oshoala', 'followers': 1040076}]"
